target_id	length	eff_length	est_counts	tpm
NM_001168316	2283	2104	313.565	24474.8
NM_174914	2385	2206	1310.2	97536.6
NR_031764	1853	1674	140.237	13757.6
NM_004503	1681	1502	344.197	37633.4
NM_006897	1541	1362	664	80062.2
NM_014212	2037	1858	55	4861.31
NM_014620	2300	2121	554.34	42921.2
NM_017409	1959	1780	47	4336.25
NM_017410	2396	2217	42	3111.14
NM_018953	1612	1433	222.011	25442.7
NM_022658	2288	2109	4881	380074
NM_153633	1666	1487	399.536	44124.6
NM_153693	2072	1893	55.718	4833.71
NM_173860	849	670	962	235796
NR_003084	1640	1461	9.19804	1033.91
